,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",78460903,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
2,"Heat Waves","Glass Animals",29196550,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
3,"STAY (with Justin Bieber)","The Kid LAROI",23519832,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",21399051,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
5,Envolver,Anitta,21367787,https://open.spotify.com/track/3IAfUEeaXRX9s9UdKOJrFI
6,"Cold Heart - PNAU Remix","Elton John",19466157,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
7,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",18750154,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
8,abcdefu,GAYLE,18605182,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
9,"Plan A","Paulo Londra",18604423,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB
10,MAMIII,"Becky G",17204156,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
11,Ghost,"Justin Bieber",16971770,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
12,"Una Noche en Medellín","Cris Mj",16651500,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
13,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",16547826,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1
14,"MIDDLE OF THE NIGHT","Elley Duhé",16502332,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
15,Desesperados,"Rauw Alejandro",16412905,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
16,Woman,"Doja Cat",15850018,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
17,Shivers,"Ed Sheeran",15434279,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
18,"Easy On Me",Adele,15265680,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
19,"good 4 u","Olivia Rodrigo",14968609,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
20,"THATS WHAT I WANT","Lil Nas X",14778512,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
21,"When You're Gone","Shawn Mendes",14619171,https://open.spotify.com/track/0U1W2LZVUX7qTm7dDpqxh6
22,"Where Are You Now","Lost Frequencies",13523604,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
23,"Bad Habits","Ed Sheeran",13480615,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
24,Boyfriend,"Dove Cameron",13107439,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
25,"My Universe",Coldplay,13058402,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
26,"The Motto",Tiësto,12849161,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
27,Pepas,Farruko,12825093,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
28,"Fuera del mercado","Danny Ocean",12775563,https://open.spotify.com/track/1UdzJEpgJxtuXAlCOvD4S0
29,"Another Love","Tom Odell",12450614,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
30,"In My Head","Lil Tjay",12285583,https://open.spotify.com/track/1HvTxgCj0mTzQlEo0zLvFb
31,Infinity,"Jaymes Young",12106427,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
32,"Blinding Lights","The Weeknd",11966387,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
33,"I Love You So","The Walters",11736094,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
34,"Sweater Weather","The Neighbourhood",11622158,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
35,traitor,"Olivia Rodrigo",11507245,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
36,"X ÚLTIMA VEZ","Daddy Yankee",11495047,https://open.spotify.com/track/48AJSd42lXpicsGqcgopof
37,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,11437796,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
38,"Kiss Me More (feat. SZA)","Doja Cat",11274272,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
39,"Need to Know","Doja Cat",11061312,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
40,Dandelions,"Ruth B.",11025074,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
41,"Light Switch","Charlie Puth",10976929,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
42,"drivers license","Olivia Rodrigo",10849569,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
43,Yonaguni,"Bad Bunny",10676750,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
44,"Watermelon Sugar","Harry Styles",10638398,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
45,"Do It To It",ACRAZE,10255486,https://open.spotify.com/track/20on25jryn53hWghthWWW3
46,"Levitating (feat. DaBaby)","Dua Lipa",9863900,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
47,"Save Your Tears","The Weeknd",9638630,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
48,"Happier Than Ever","Billie Eilish",9633089,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
49,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",9515557,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
50,Starlight,Dave,9451929,https://open.spotify.com/track/531KGXtBroSrOX9LVmiIgc
51,"Cool for the Summer","Demi Lovato",9328668,https://open.spotify.com/track/3uwnnTQcHM1rDqSfA4gQNz
52,Jordan,"Ryan Castro",9313304,https://open.spotify.com/track/2rDZhKnPaPG054ExZ6nXUS
53,"deja vu","Olivia Rodrigo",9202444,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
54,Softcore,"The Neighbourhood",8918215,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
55,"MONTERO (Call Me By Your Name)","Lil Nas X",8865975,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
56,505,"Arctic Monkeys",8844484,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
57,"Something In The Way - Remastered",Nirvana,8802545,https://open.spotify.com/track/2WL6GQzPuK9Nrpy9XwNEbz
58,"Without Me",Eminem,8678062,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
59,Medallo,Blessd,8658531,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
60,Pantysito,Alejo,8657600,https://open.spotify.com/track/4srcMdbm2qzVG98tJajHxp
61,"Wait a Minute!",WILLOW,8656292,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
62,"Yo Voy (feat. Daddy Yankee)","Zion & Lennox",8565055,https://open.spotify.com/track/5gflgO9EPbIBf16n5TKnQS
63,Butter,BTS,8361199,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
64,"Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","The Weeknd",8360205,https://open.spotify.com/track/1oFAF1hdPOickyHgbuRjyX
65,Bones,"Imagine Dragons",8310270,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G
66,DÁKITI,"Bad Bunny",8302410,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
67,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7971650,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
